Day,P2P Buying Price (Rs),BTC Rate (USD),USD to LKR Price,BTC vs LKR,P2P Premium
2021-02-10,,46428.74072,196.5,9123247.55148,
2021-02-11,,44812.78716,193.5,8671274.31546,
2021-02-12,,47974.21494,193.5,9283010.59089,
2021-02-13,,47334.54468,193.5,9159234.39558,
2021-02-14,,47153.37312,193.5,9124177.698719999,
2021-02-15,,48599.35107,194.0,9428274.107579999,
2021-02-16,,47910.20076,195.0,9342489.1482,
2021-02-17,,49139.56475,195.5,9606784.908625,
2021-02-18,,52118.50812,196.25,10228257.21855,
2021-02-19,,51565.19887,195.0,10055213.77965,
2021-02-20,,55904.83568,195.0,10901442.9576,
2021-02-21,,55849.62206,195.0,10890676.3017,
2021-02-22,,57432.3125,193.0,11084436.3125,
2021-02-23,,54116.40516,193.0,10444466.19588,
2021-02-24,,48892.67782,193.5,9460733.15817,
2021-02-25,,49683.04746,194.0,9638511.20724,
2021-02-26,,47072.32048,194.0,9132030.173120001,
2021-02-27,,46299.6273,194.0,8982127.6962,
2021-02-28,,46114.94086,194.0,8946298.526840001,
2021-03-01,,45130.76458,194.0,8755368.32852,
2021-03-02,,49588.68587,195.0,9669793.74465,
2021-03-03,,48446.05515,195.0,9446980.75425,
2021-03-04,,50350.5075,195.0,9818348.9625,
2021-03-05,,48370.36867,195.5,9456407.074985001,
2021-03-06,,48734.47032,195.5,9527588.94756,
2021-03-07,,48884.38421,195.5,9556897.113055,
2021-03-08,,50970.98332,195.5,9964827.23906,
2021-03-09,,52375.27371,196.0,10265553.647160001,
2021-03-10,,54884.83012,196.0,10757426.70352,
2021-03-11,,55845.63805,196.0,10945745.0578,
2021-03-12,,57775.242,196.0,11323947.432,
2021-03-13,,57231.1939,196.0,11217314.0044,
2021-03-14,,61185.7661,196.0,11992410.1556,
2021-03-15,,58987.48929,197.5,11650029.134775,
2021-03-16,,55606.34483,198.0,11010056.27634,
2021-03-17,,56907.87103,199.5,11353120.270485,
2021-03-18,,58907.90649,197.0,11604857.57853,
2021-03-19,,57648.97672,197.0,11356848.41384,
2021-03-20,,58033.87745,197.0,11432673.85765,
2021-03-21,,58108.50647,197.0,11447375.77459,
2021-03-22,,58105.57929,197.5,11475851.909775,
2021-03-23,,54080.82947,198.0,10708004.235059999,
2021-03-24,,54345.49087,198.5,10787579.937695,
2021-03-25,,54345.85021,198.0,10760478.34158,
2021-03-26,,54345.85021,198.5,10787651.266685,
2021-03-27,,55032.62487,198.5,10923976.036695,
2021-03-28,,55054.52144,198.5,10928322.50584,
2021-03-29,,55780.87186,198.5,11072503.06421,
2021-03-30,,57623.50203,198.5,11438265.152955001,
2021-03-31,,58743.29209,198.5,11660543.479865,
2021-04-01,,58755.3778,199.0,11692320.1822,
2021-04-02,,58724.79513,199.0,11686234.23087,
2021-04-03,,58955.70701,199.0,11732185.69499,
2021-04-04,,57311.33998,199.0,11404956.656019999,
